sentence,term,category,polarity
좋은 인프라,인프라,복지,positive
많은 업무 케이스를 경험할 수 있음 네이버 인프라 활용이라는 갈점,업무,업무,positive
역에서 멀다 사옥 접근성이 낮다,접근성,복지,negative
딸랑이가 많고 별로인 리더가 너무 많다 성과를 리더가 마음대로 정한다,리더,사내문화,negative
"팀바팀이라 장점이 될수도있고 단점이 될수도 있는데, 현재 있는 조직은 워라밸이 극상임 덕분에 육아와 업무를 동시에 하는데도 큰 문제가 없음 장비나 교육지원 측면에서도 최고",워라밸,업무,positive
"팀바팀이라 장점이 될수도있고 단점이 될수도 있는데, 현재 있는 조직은 워라밸이 극상임 덕분에 육아와 업무를 동시에 하는데도 큰 문제가 없음 장비나 교육지원 측면에서도 최고",육아,복지,positive
"팀바팀이라 장점이 될수도있고 단점이 될수도 있는데, 현재 있는 조직은 워라밸이 극상임 덕분에 육아와 업무를 동시에 하는데도 큰 문제가 없음 장비나 교육지원 측면에서도 최고",지원,복지,positive
이제는 완전한 대기업이라 의사결정이 심각하게 느림 2주면 끝나보이는일이 6개월정도 걸리는 환장할듯한 진행속도,진행속도,업무,negative
자칫 지루할수도 있는 반복되는 업무가 아닌 일을 하면서 다양한 경험을 쌓고 배울수 있는 곳,업무,업무,positive
경력직은 별다른 설명 없이 가이드라인만 참고 하여 업무관련 진행 할때 다소 어려움이 있을수 있음,업무,업무,negative
업무가 분배되어 있고 본인의 업무만 잘하면 돼서 다른 누구의 큰 터치는 없는 곳,업무,업무,positive
서로 존중하고자 하는 모습이 보이는 문화,문화,사내문화,positive
개인주의적인 것이 좋기도 한 반면 처음 적응하기는 어려운 곳 업무가 많고 모든 게 급하게 진행되는 느낌,업무,업무,negative
자체적으로 잘 갖춰진 인프라,인프라,복지,positive
좋은 개발 문화 배울점 많은 동료들 재택,문화,사내문화,positive
전 회사 보다 분위기가 딱딱한 편,분위기,사내문화,negative
가끔가다가 한번에 일이 몰릴때가 있음,일,업무,negative
개발자 커리어에 한번쯤 거치면 좋은 회사 열심히 한만큼 보상은 있음,커리어,커리어,positive
개발자 커리어에 한번쯤 거치면 좋은 회사 열심히 한만큼 보상은 있음,보상,급여,positive
경쟁이 치열한 편 보상도 차등되어 불만이 있을수 있음,보상,급여,negative
다양한 주식 프로그램이 있다 다들 평타 이상으로 일 잘한다,프로그램,복지,positive
어쩔수없는 수직적인 업무 방식 위에서 하라면 해야함 일정에 쫓김,업무,업무,negative
팀과 업무를 잘 만난다면 어렵지만 성장하는 서비스에 올라타서 많은 것을 배울 수 있습니다,성장,커리어,positive
온보딩 프로세스가 타사에 비해 빈약한 편이라고 생각합니다,프로세스,업무,negative
복지가 좋고 잘하는 분들이 계셔서 개인역량에 따라 배울수있는 기회는 있음,복지,복지,positive
복지가 좋고 잘하는 분들이 계셔서 개인역량에 따라 배울수있는 기회는 있음,복지,복지,positive
현재 재택근무 형태라 신입이 배우기에는 많이 힘든 상태,배울,커리어,negative
제목대로 배울게 많습니다 정말 일 잘하는 분 벤치마킹하기도 좋고 여기서 이만큼 일하면 어딜가든 편하게 느껴지겠다 싶을 정도입니다,배울,커리어,positive
일 강도가 쎕니다 매우 그리고 전반적으로 사내분위기 자체가 차갑습니다,일,업무,negative
일 강도가 쎕니다 매우 그리고 전반적으로 사내분위기 자체가 차갑습니다,사내분위기,사내문화,negative
뛰어난 기술자들이 있음 개발자 대우 잘해준다 네임벨류 있다,네임밸류,커리어,positive
크게 성장하기가 어려운 무사안일주의가 팽배해있다 개인주의가 심한 편,성장,커리어,negative
큰 기업치고는 직원들에게 임금 등 인상해주려고 하는 듯 함,임금,급여,positive
거대한 서비스들이 많아서 큰 트래픽에 대한 경험 쌓을 수 있음,경험,커리어,positive
찍어누르기 식 경영방식 워라밸을 챙길 수 없는 분위기의 팀들도 많다고 함,워라밸,업무,negative
"복지 좋음, 동료들 실력이 좋아 배울 것이 넘침 업무환경 세팅에 있어 부족함이 없음",복지,복지,positive
개인의 의견이 반영되기 힘든 구조 또 과연 유저의 목소리를 듣고있나에 대한 의문이 많이 생김,의견,사내문화,negative
부바부지만 워라벨 없다고 보면됨 위에서 일정픽스하고 기간내에 만들어내는 프로젝트가 많음,워라밸,업무,negative
개발자로서 다양한 기술들을 경험하기 좋은 회사입니다 밥이 맛있습니다,경험,커리어,positive
개발자로서 다양한 기술들을 경험하기 좋은 회사입니다 밥이 맛있습니다,밥,복지,positive
일정 압박 심하고 워라밸 극악입니다 워커홀릭이라면 오세요,워라밸,업무,negative
"나름의 워라벨 보장이 되는 것 같고, 일이 많기 때문에 다양한 경험이 가능하다.",워라밸,업무,positive
"나름의 워라벨 보장이 되는 것 같고, 일이 많기 때문에 다양한 경험이 가능하다.",경험,커리어,positive
일이 많아서 코드를 재구조화 할 시간을 만들기가 힘들다.,일,업무,negative
워라밸이나 보상들은 어느정도 업계 상위권 수준으로 보장이 되는듯.,워라밸,업무,positive
워라밸이나 보상들은 어느정도 업계 상위권 수준으로 보장이 되는듯.,보상,급여,positive
뛰어난 동료들과 근무환경,동료,사내문화,positive
뛰어난 동료들과 근무환경,환경,복지,positive
나쁘지 않은 복지,복지,복지,positive
괴롭힘 사건이후 침체된 분위기 부족한 리더십 불투명한 커뮤니케이션,분위기,사내문화,negative
좋은 커리어를 쌓을 수 있고 연봉도 업계 상위수준으로 받을 수 있다,커리어,커리어,positive
좋은 커리어를 쌓을 수 있고 연봉도 업계 상위수준으로 받을 수 있다,연봉,급여,positive
치열한 내부 경쟁에서 오는 스트레스가 있다 누군가를 밟고 올라서야 성공한다,경쟁,업무,negative
음 아직까지는 딱히 느끼진 못했는데 일이 좀 많다는 정도 그래도 심하진 않은것 같은데 개발은 잘 모르겠음,일,업무,negative
"워낙 팀바팀이 심하다고는 하지만 우리팀은 개인의 성장 중시하는 느낌이라 좋음
바쁠때 빼고는 워라밸도 잘 보장되고.. 근데 이건 개인 역량에 달렸다고 생각함
사내 문화는 우리팀 기준 최고였고 급여도 이정도면 만족하고 다님 복지도 워낙 많으니까",성장,사내문화,positive
바쁠때 빼고는 워라밸도 잘 보장되고 근데 이건 개인 역량에 달렸다고 생각함,워라밸,업무,positive
사내 문화는 우리팀 기준 최고였고 급여도 이정도면 만족하고 다님 복지도 워낙 많으니까,문화,사내문화,positive
사내 문화는 우리팀 기준 최고였고 급여도 이정도면 만족하고 다님 복지도 워낙 많으니까,급여,급여,positive
사내 문화는 우리팀 기준 최고였고 급여도 이정도면 만족하고 다님 복지도 워낙 많으니까,복지,복지,positive
조직원들이 모두 열심히 일하는 분위기 배울게 많음 대신 야근은 필수,분위기,사내문화,positive
조직원들이 모두 열심히 일하는 분위기 배울게 많음 대신 야근은 필수,야근,업무,negative
부서간 소통이 어려운 부분이 있고 너무 세분화되어있어서 하나를 하려면 협업이 많이 필요해서 오래걸림,소통,업무,negative
주변인들이 잘하고 고인물들이 많다 주변사람 잘 챙기기 어려움 사내문화가 개인주의,사내문화,사내문화,negative
회사의 네임벨류 때문에 한국에서는 인정받음,네임밸류,커리어,positive
복지 좋음,복지,복지,positive
"야근, 스트레스 많음 뒷담화 많음 상사/팀 따라 워라벨이 안 좋을 수 있음",뒷담화,사내문화,negative
"개개인의 맨파워가 수준급입니다 물론 요새 많이들 나가긴 했어도, 일하면서 꽤 자극받아요 복지나 그런건 평균이상이고, 연봉 상승률은 글쎄요 요새 워낙 잘 주는 회사들이 많아서",복지,복지,positive
"개개인의 맨파워가 수준급입니다 물론 요새 많이들 나가긴 했어도, 일하면서 꽤 자극받아요 복지나 그런건 평균이상이고, 연봉 상승률은 글쎄요 요새 워낙 잘 주는 회사들이 많아서",연봉,급여,negative
"모든 회사가 그렇듯이 팀바팀 분위기에요 개인의 역량대로 일이 펼쳐지는 느낌이 아니라 마치 어쩔 수 없는 자연재해에 얻어맞는것처럼, 정신못차리고 앞인지 뒤인지 내가 가는길에 어딘지 혼란한 그런 곳 내 의지대로 할 수 있는건 퇴사정도 의사결정자들이 너무 올드해요 밑에는 정치하고 눈치보느라 밥그릇 싸움 하구요 천재도 바보가 될 수 있는 그런 곳 특히 경력신입으로 들어오면 인간적으로나 업무적으로나 매운맛을 단단히 보게됨 멘탈 잘 잡고 오세요",정치,사내문화,negative
인정 받은 직원에 대한 보상이 확실,보상,급여,positive
"자율출퇴근, 연차 사용 등에 눈치를 전혀 안봄",연차,복지,positive
지하주차장에 주차 공간이 다소 부족하다는 점 정도,주차,복지,negative
나쁘지 않은 복지,복지,복지,positive
연봉수준이 낮음,연봉,급여,negative
보상체계가 좋지 않음,보상,급여,negative
가끔 사람들 잘못 걸리면 힘듬,사람,사내문화,negative
"서비스 자체의 인지도와 나름 자유로운 재택, 자율 근무제도",근무,업무,positive
진짜 엣지 있는 서비스를 만들기에는 회사 안에서 충분한 실험이 이뤄지고 있는가에 대한 아쉬움,서비스,업무,negative
"초스피드로 일하는 법, 항상 변화해야하는 법 배울 수 있어요",일,커리어,positive
개인이 알아서 성장해야해요. 누가 누구를 성장시켜주지 않아요,성장,커리어,negative
성장할 수 있는 여건은 충분히 되나 업무량은 상당함을 각오해야 합니다,성장,커리어,positive
성장할 수 있는 여건은 충분히 되나 업무량은 상당함을 각오해야 합니다,업무량,업무,negative
"저녁이 없는 삶, 저녁식사도 늦게 하기 일수여서 건강이 나빠진 거 같아요",건강,업무,negative
다양한 기회를 얻기에는 하나의 서비스를 너무 오래 지속해야한다는 점,기회,커리어,negative
복지와 네임벨류는 업계에서 손꼽히긴한다,복지,복지,positive
복지와 네임벨류는 업계에서 손꼽히긴한다,커리어,커리어,positive
사내문화가 정해진게있어서 그런지 어느정도 존중이 깔려있음,사내문화,사내문화,positive
일정의 압박과 그에따른 책임 가중 두루뭉술한 업무 플로우가 존재한다,업무,업무,negative
신입이 대규모 서비스를 국내에서 접할 수 있다는 점이 큰 메리트,서비스,커리어,positive
변화를 시도하려는 움직임이 적음 이미 안정적으로 유지되는걸 바꾸고 싶어하지 않는 분들이 있음,서비스,업무,negative
나름 업계 대비 평탄 가는 복지 특히 매월 나오는 개인업무지원비 유용한편,복지,복지,positive
정치질도 심하고 경력자에게 아무런 가이드 없이 다 알아서 하라고 하는 분위기,분위기,사내문화,negative
"비포괄, 연봉인상률, 스톡 등 보상에 있어서 만족 이외에도 각종 복지제도를 매년 개선하고자 함",복지,복지,positive
업무 방식 및 프로세스에 있어서 불만족,프로세스,업무,negative
일하는 방식에 있어서는 다소 수직적임,수직,사내문화,negative
부바부가 있지만 다른회사들보다 신입이 성장하기 좋은 회사,성장,커리어,positive
신입이라 잘 모르지만 경영진들이랑 노조간의 싸움이 매우 심함,싸움,사내문화,negative
기술적으로 성장하기 좋고 배울게 많은 회사,성장,커리어,positive
복지나 처우 등은 적당히 좋은거같음,복지,복지,positive
일이 많아 워라밸 챙기기는 쉽지 않은거 같다 다른 기업들에 처우면에서 점점 밀린다,워라밸,업무,negative
워라벨이 좋아요 자기가 원하시는 시간대에 주 40시간 맞춰서 일하면 되기에 맘에 들지만 개인의 성장 측면에서는 그다지 좋은점을 모르겠네요,워라벨,업무,positive
워라벨이 좋아요 자기가 원하시는 시간대에 주 40시간 맞춰서 일하면 되기에 맘에 들지만 개인의 성장 측면에서는 그다지 좋은점을 모르겠네요,성장,커리어,positive
서비스 의사결정이 탑다운이라서 괜찮은 서비스가 빛을 보지못하고 이쁘게 포장만 된 상태로 데모만 보여주다 끝나는 경우가 많아요.,포장,커리어,negative
돈 많이 줌,돈,급여,positive
복지가 타사대비 괜찮고 다양함 유연한 근무 제도임,복지,복지,positive
꼰대가 너무너무 많음,꼰대,사내문화,negative
커리어 개발 절대 못함,커리어,커리어,negative
적어도 대한민국에서는 네이버 모르는 사람 없다 네임밸류가 있어 좋은 동료들이 많이 모여든다,네임밸류,커리어,positive
좋은 동료 사이에서 인간관계 스트레스없이 업무 집중 가능하다,동료,사내문화,positive
개발 에이스였던 사람들이 모여있어서 너나할것 없이 업무능력이 다 중간 이상은 감 개발이 메인인 회사라 개발자가 서러울일 없다 사내 기술 플랫폼이 잘돼있어 다양한 기술 적용 접근성이 좋다 내가 처음부터 기술 도입해야하는 수고없이 사내 플랫폼 이용하면서 사용법 익히며 기술 배울수 있다,업무,업무,positive
개발 에이스였던 사람들이 모여있어서 너나할것 없이 업무능력이 다 중간 이상은 감 개발이 메인인 회사라 개발자가 서러울일 없다 사내 기술 플랫폼이 잘돼있어 다양한 기술 적용 접근성이 좋다 내가 처음부터 기술 도입해야하는 수고없이 사내 플랫폼 이용하면서 사용법 익히며 기술 배울수 있다,배울,커리어,positive
같은 동료끼리 공부하기 굉장히 좋은 환경이였음 성장하기 좋은듯 최신 기술들을 쉽게 접할수있는 환경,환경,업무,positive
좋은 동료가 많음 스톡도 주고 급여도 쎈편 출퇴근 압박 없고 재택임,스톡,복지,positive
좋은 동료가 많음 스톡도 주고 급여도 쎈편 출퇴근 압박 없고 재택임,동료,사내문화,positive
좋은 동료가 많음 스톡도 주고 급여도 쎈편 출퇴근 압박 없고 재택임,출퇴근,복지,positive
워라밸과 급여가 좋은 것 같다,워라밸,업무,positive
워라밸과 급여가 좋은 것 같다,급여,급여,positive
사옥이 좋아서 들어갈 때마다 기분 좋음,사옥,복지,positive
네임밸류에 비해서 커리어향상은 잘 모르겠다 그래도 네임밸류 최강,커리어,커리어,negative
워라벨만큼은 확실히 보장 교육 프로세스 잘 구비되어 있음,워라벨,업무,positive
경쟁 회사 대비 낮은 연봉 어느정도 고이면 그 이상으로 성장 로드맵이 그려지지 않음,연봉,급여,negative
경쟁 회사 대비 낮은 연봉 어느정도 고이면 그 이상으로 성장 로드맵이 그려지지 않음,성장,커리어,negative
업무 계획을 개인이 편하게 할 수 있음,업무,업무,positive
이것저것 찾아보면 복지가 상당히 많은 회사,복지,복지,positive
위가 막혀있어 진급이 어려울 수 있음,진급,급여,negative
"팀마다 다르지만 각자도생, 개인주의",개인주의,사내문화,negative
꽤 좋은 멤버들과 같이 많이 배우면서 일을 할 수 있었다,일,업무,positive
워라밸이 보장이 되게 잘 됐다.,워라밸,업무,positive
경영진과의 소통이 다소 아쉬웠다 리더 중심의 문화는 어쩔 수 없는 것 같긴 함,문화,사내문화,negative
좋은 동료들,동료,사내문화,positive
시스템이 잘 구축되어 있어서 잘 돌아감,시스템,업무,positive
"정치질, 리더들 정치 싸움에 실무자들만 죽어나는 회사",정치,문화,negative
업무에 대한 부담이 크지 않았다,업무,업무,positive
팀 자체는 자유롭고 수평적인 분위기,분위기,사내문화,positive
의사 결정 과정이나 아이디어가 지나치게 통과를 목표로 제시되는 경향이 존재했음,통과,업무,negative
"똑똑한 동료들과 일할 수 있는 기회, 커리어면에서 많은 도움이 되는 회사입니다",커리어,커리어,positive
"지독한 개인주의, 신입에게 아무도 도움을 주지 않습니다",개인주의,사내문화,negative
업무 자율성 보장,업무,업무,positive
배울게 많은 동료들,동료,사내문화,positive
대기업의 네임벨류,네임밸류,커리어,positive
유연한 근무제,근무제,업무,positive
체계화된 업무 배분,업무,업무,positive
워라밸 좋고 it 기업이 어떻게 돌아가는지 알 수 있음,워라밸,업무,positive
급여가 낮음 직원을 하청으로 생각하는 것 같음 정치해야함,급여,급여,negative
서로를 존중하는 문화가 깔려있고 좋은 분들이 많음. 자기계발을 할 수 있음,문화,사내문화,positive
"딱히 단점은 아직까지 못느꼈으나, 다소 개인적인 분위기는 있는 듯 함",분위기,사내문화,negative
능력적으로 보고 배울 사람이 많음,배울,커리어,positive
"부바부지만 대체로 일이 많고 어떤 부서에서 어떤 리더를 만나느냐에 따라 극심한 스트레스를 받을 수도, 행복을 느끼면서 다닐 수도 있음",일,업무,negative
